44	트랜스포머 3	2011-06-29	74,841,350,500	7,784,807	1,409
45	히말라야	2015-12-16	60,173,583,015	7,759,473	1,009
46	미션임파서블:고스트프로토콜	2011-12-15	57,795,846,000	7,575,899	1,038
47	트랜스포머: 패자의 역습	2009-06-24	51,478,531,663	7,505,700	1,129
48	밀정	2016-09-07	61,269,783,831	7,500,420	1,444
49	최종병기 활	2011-08-10	55,827,861,500	7,470,633	615
50	트랜스포머	2007-06-28	0	7,440,531	S 160
51	써니	2011-05-04	54,034,235,100	7,362,467	472
52	화려한 휴가	2007-07-25	0	7,307,993	S 116
53	스파이더맨: 홈 커밍	2017-07-05	59,125,813,820	7,258,678	1,965
54	1987	2017-12-27	58,165,581,145	7,231,638	1,299
55	베를린	2013-01-30	52,354,931,637	7,166,199	894
56	마스터	2016-12-21	58,067,927,865	7,150,541	1,501
57	터널	2016-08-10	57,529,484,417	7,120,508	1,105
58	어벤져스	2012-04-26	59,557,853,478	7,074,867	967
59	내부자들	2015-11-19	56,598,130,057	7,072,021	1,075
60	인천상륙작전	2016-07-27	55,101,410,303	7,049,643	1,049
61	럭키	2016-10-13	56,444,461,256	6,975,290	1,158
62	은밀하게 위대하게	2013-06-05	48,700,887,413	6,959,083	1,341
63	곡성	2016-05-12	55,863,520,382	6,879,908	1,485
64	범죄도시	2017-10-03	56,318,014,149	6,879,841	1,315
65	타짜	2006-09-28	0	6,847,777	S 147
66	좋은 놈, 나쁜 놈, 이상한 놈	2008-07-17	43,768,628,939	6,686,912	825
67	늑대소년	2012-10-31	46,593,107,500	6,654,837	706
68	미녀는 괴로워	2006-12-14	0	6,619,498	S 93
69	군함도	2017-07-26	50,510,565,168	6,592,151	2,027
70	미션 임파서블: 폴아웃	2018-07-25	55,888,375,112	6,584,915	1,957
71	다크 나이트 라이즈	2012-07-19	47,644,838,000	6,396,528	1,210
72	아저씨	2010-08-04	47,870,792,359	6,282,774	478
73	사도	2015-09-16	48,842,902,501	6,246,849	1,210
74	전우치	2009-12-23	44,605,437,017	6,136,928	606
75	킹스맨 : 시크릿 에이전트	2015-02-11	50,369,009,795	6,129,681	706
76	미션 임파서블: 로그네이션	2015-07-30	48,547,353,607	6,126,488	1,202
77	투사부일체	2006-01-19	0	6,105,431	S 93
78	연평해전	2015-06-24	45,563,228,330	6,043,784	1,013
79	반지의 제왕 : 왕의 귀환	2003-12-17	0	5,960,000	S 105
80	인셉션	2010-07-21	44,106,546,302	5,926,948	528
81	레미제라블	2012-12-19	43,044,999,000	5,911,890	696
82	쉬리	1999-02-13	0	5,820,000	0
83	캡틴 마블	2019-03-06	51,491,272,223	5,801,069	2,100
84	미션 임파서블 3	2006-05-03	0	5,740,789	S 134
85	쥬라기 월드: 폴른 킹덤	2018-06-06	49,770,711,037	5,661,128	1,972
86	청년경찰	2017-08-09	44,381,150,516	5,653,270	1,102
87	가문의 위기(가문의 영광2)	2005-09-07	0	5,635,266	S 101
88	숨바꼭질	2013-08-14	39,602,987,500	5,604,104	779
89	덕혜옹주	2016-08-03	44,393,828,109	5,599,229	964
90	더 테러 라이브	2013-07-31	39,866,712,881	5,583,596	743
91	쥬라기 월드	2015-06-11	47,800,698,826	5,546,792	1,290
92	감시자들	2013-07-03	39,380,162,179	5,508,017	949
93	의형제	2010-02-04	40,800,867,602	5,507,106	572
94	2012	2009-11-12	39,415,166,660	5,462,953	789
95	앤트맨과 와스프	2018-07-04	47,465,443,185	5,447,826	1,775
96	닥터 스트레인지	2016-10-26	47,482,530,396	5,446,379	1,503
97	검은 사제들	2015-11-05	42,407,832,092	5,442,553	1,088
98	안시성	2018-09-19	46,335,334,026	5,440,186	1,540
99	블랙 팬서	2018-02-14	45,883,143,457	5,398,994	1,620
100	더 킹	2017-01-18	43,486,078,535	5,316,325	1,310
101	완득이	2011-10-20	38,530,503,500	5,310,510	500
102	트랜스포머: 사라진 시대	2014-06-25	44,012,272,845	5,295,801	1,602
103	완벽한 타인	2018-10-31	44,356,752,474	5,294,119	1,313
104	살인의 추억	2003-04-25		5,255,376	S 54
105	조커	2019-10-02	45,443,092,130	5,255,308	1,418
106	월드 워 Z	2013-06-20	38,555,357,000	5,237,525	964
107	반지의 제왕 : 두개의 탑	2002-12-19	0	5,183,000	S 79
108	타워	2012-12-25	37,654,858,000	5,181,014	617
109	말아톤	2005-01-27	0	5,148,022	S 73
110	미녀와 야수	2017-03-16	42,132,589,579	5,138,193	1,627
111	추격자	2008-02-14	33,943,278,500	5,071,619	435
112	독전	2018-05-22	43,484,892,913	5,063,620	1,357
113	쿵푸팬더 2	2011-05-26	44,298,724,500	5,062,722	948
114	아쿠아맨	2018-12-19	44,113,456,704	5,038,134	1,285
115	공작	2018-08-08	42,788,691,176	4,974,512	1,317
116	인사이드 아웃	2015-07-09	38,024,694,936	4,969,735	777
117	캐리비안의 해적: 세상의 끝에서	2007-05-23	0	4,966,571	S 244
118	킹스맨: 골든 서클	2017-09-27	40,987,484,736	4,945,484	1,687
119	동갑내기 과외하기	2003-02-07		4,937,573	S 54
120	스파이더맨 3	2007-05-01	0	4,935,660	S 198
121	바람과 함께 사라지다	2012-08-08	34,614,661,161	4,909,937	694
122	마션	2015-10-08	39,663,145,295	4,880,800	1,132
123	토르: 라그나로크	2017-10-25	39,248,432,595	4,857,152	1,640
124	어메이징 스파이더맨	2012-06-28	41,163,951,235	4,853,123	1,118
125	님아, 그 강을 건너지 마오	2014-11-27	37,355,277,679	4,801,527	206
126	봉오동 전투	2019-08-07	40,588,648,538	4,787,538	1,476
127	조선명탐정 : 각시투구꽃의 비밀	2011-01-27	35,841,769,500	4,786,259	611
128	군도: 민란의 시대	2014-07-23	36,987,755,999	4,774,895	1,394
129	남산의 부장들	2020-01-22	41,223,596,650	4,750,104	1,659
130	라이온 킹	2019-07-17	41,518,977,430	4,743,184	1,936
131	범죄와의 전쟁: 나쁜놈들 전성시대	2012-02-02	36,538,823,500	4,719,872	699
132	주토피아	2016-02-17	37,077,444,042	4,703,245	661
133	엣지 오브 투모로우	2014-06-04	38,731,398,201	4,699,208	801
134	신세계	2013-02-21	34,881,330,905	4,682,492	671
135	쿵푸 팬더	2008-06-05	30,000,965,000	4,673,009	351
136	신비한 동물사전	2016-11-16	39,337,263,058	4,666,993	1,431
137	도가니	2011-09-22	35,566,854,800	4,662,822	644
138	캐리비안의 해적 : 망자의 함	2006-07-06	0	4,628,903	S 129
139	박물관이 살아있다!	2006-12-21	0	4,612,831	S 86
140	내 아내의 모든 것	2012-05-17	34,222,160,500	4,598,583	563
141	판도라	2016-12-07	36,064,461,064	4,583,645	1,166
142	나쁜 녀석들: 더 무비	2019-09-11	39,560,195,124	4,573,902	1,511
143	터미네이터 : 미래전쟁의 시작	2009-05-21	30,146,162,133	4,568,891	704
144	맘마미아!	2008-09-03	29,570,784,560	4,554,785	457
145	연가시	2012-07-05	32,175,400,664	4,515,833	759
146	아이언맨 2	2010-04-29	33,161,943,100	4,498,335	757
147	강철비	2017-12-14	35,489,576,466	4,452,740	1,426
148	해리포터와 죽음의 성물2	2011-07-13	34,507,819,000	4,400,298	757
149	다만 악에서 구하소서	2020-08-05	38,584,619,110	4,355,175	1,997
150	아이언맨	2008-04-30	27,802,744,668	4,316,003	592
151	엑스맨: 데이즈 오브 퓨처 패스트	2014-05-22	34,654,558,766	4,313,871	1,056
152	강철중: 공공의 적 1-1	2008-06-19	28,465,757,767	4,300,670	659
153	아가씨	2016-06-01	35,211,229,991	4,287,839	1,171
154	킹콩	2005-12-14	0	4,232,430	S 89
155	어메이징 스파이더맨 2	2014-04-23	34,869,056,800	4,168,350	1,312
156	인디아나 존스 4 : 크리스탈 해골의 왕국	2008-05-22	26,693,951,667	4,136,101	660
157	용의자	2013-12-24	30,037,161,000	4,131,248	807
158	건축학개론	2012-03-22	30,219,800,500	4,110,645	593
159	태풍	2005-12-14	0	4,094,395	S 115
160	미이라 3:황제의 무덤	2008-07-30	26,222,207,084	4,090,795	527
161	7급 공무원	2009-04-22	26,701,311,856	4,088,799	475
162	다크 나이트	2008-08-06	27,059,471,306	4,087,355	462
163	색즉시공	2002-12-11	0	4,082,797	S 41
164	댄싱퀸	2012-01-18	30,129,259,500	4,057,546	534
165	우리 생애 최고의 순간	2008-01-10	26,151,780,425	4,044,582	418
166	꾼	2017-11-22	31,313,568,795	4,018,341	1,314
167	타짜-신의 손	2014-09-03	32,373,120,927	4,015,361	890
168	혹성탈출: 반격의 서막	2014-07-10	31,514,053,095	4,002,560	922
169	해리포터와 비밀의 방	2002-12-13	0	4,000,000	S 89
170	쿵푸팬더3	2016-01-28	31,340,798,156	3,984,812	1,365
171	캡틴 아메리카: 윈터 솔져	2014-03-26	31,710,585,385	3,963,220	1,106
172	공공의 적 2	2005-01-27	0	3,911,356	S 95
173	박수건달	2013-01-09	28,379,548,569	3,897,969	599
174	베놈	2018-10-03	34,100,211,207	3,888,096	1,308
175	한반도	2006-07-13	0	3,880,308	S 126
176	조선명탐정 : 사라진 놉의 딸	2015-02-11	30,456,879,428	3,872,015	811
177	트로이	2004-05-21	0	3,851,000	S 90
178	역린	2014-04-30	29,893,297,890	3,849,433	1,054
179	남한산성	2017-10-03	31,225,083,792	3,849,087	1,229
180	매드 맥스: 분노의 도로	2015-05-14	32,906,364,462	3,842,441	799
181	반도	2020-07-15	33,069,008,280	3,811,892	2,575
182	암수살인	2018-10-03	32,995,138,548	3,789,321	1,177
183	데드풀 2	2018-05-16	34,185,664,639	3,784,602	1,576
184	쌍화점	2008-12-30	25,616,489,949	3,779,553	499
185	국가부도의 날	2018-11-28	30,891,765,837	3,754,983	1,180
186	신기전	2008-09-04	24,314,570,667	3,726,134	585
187	미이라	2017-06-06	30,504,689,978	3,689,325	1,257
188	82년생 김지영	2019-10-23	30,305,744,310	3,679,019	1,486
189	너의 이름은.	2017-01-04	29,564,054,156	3,673,885	947
190	분노의 질주: 홉스&쇼	2019-08-14	32,241,767,793	3,657,536	1,311
191	분노의 질주: 더 익스트림	2017-04-12	29,981,156,348	3,653,238	1,469
192	친절한 금자씨	2005-07-29	0	3,650,000	S 127
193	해리포터와 불의 잔	2005-12-01	0	3,615,000	S 125
194	인턴	2015-09-24	28,518,443,148	3,610,642	496
195	라라랜드	2016-12-07	30,009,452,694	3,597,519	727
196	귀향	2016-02-24	27,248,705,990	3,586,929	876
197	리얼 스틸	2011-10-12	26,566,677,000	3,579,666	603
198	신의 한 수	2014-07-03	28,810,921,456	3,566,336	794
199	미스터 & 미세스 스미스	2005-06-16	0	3,546,900	S 103
200	스캔들-조선남녀상열지사	2003-10-02		3,522,747	S 76
201	코코	2018-01-11	27,723,289,440	3,513,114	1,177
202	매트릭스2 리로디드	2003-05-23	0	3,510,000	S 102
203	해리 포터와 불사조 기사단	2007-07-11	0	3,475,000	S 204
204	가문의 부활 - 가문의 영광3	2006-09-21	0	3,464,516	S 114
205	부러진 화살	2012-01-18	25,936,754,000	3,459,780	453
206	끝까지 간다	2014-05-29	27,007,303,900	3,450,305	645
207	스파이	2013-09-05	24,509,269,305	3,435,801	785
208	아일랜드	2005-07-21	0	3,433,900	S 110
209	비긴 어게인	2014-08-13	27,104,244,061	3,428,309	213
210	그것만이 내 세상	2018-01-17	27,444,525,382	3,418,043	862
211	이끼	2010-07-14	25,856,306,126	3,408,144	736
212	토이 스토리 4	2019-06-20	28,757,726,040	3,399,913	1,336
213	어바웃 타임	2013-12-05	24,982,533,500	3,392,251	568
214	돈	2019-03-20	28,869,614,062	3,389,035	1,431
215	포화속으로	2010-06-16	24,217,600,897	3,385,706	736
216	다이 하드 4 : 죽어도 산다	2007-07-17	0	3,380,800	S 136
217	맨 인 블랙 3	2012-05-24	27,301,520,070	3,379,762	770
218	악인전	2019-05-15	29,130,540,150	3,364,360	1,307
